,CAGR (%),Ann. Vol (%),Sharpe,Sortino,Calmar,Max Drawdown (%),Max Recovery (mo),Alpha (ann.),Beta,Correlation,Info Ratio vs SPY,Tracking Error (%),Win Rate (%),Gain/Pain,Months
Strategy,17.4,14.62,0.972,1.677,0.75,23.21,11,-0.0991,0.7429,0.7429,0.283,10.52,69.0,2.64,155
SPY,13.98,14.72,0.764,1.199,0.583,23.97,23,-0.1312,1.0065,1.0,,0.0,67.1,2.04,155
